Name,Total populationa (000s),Life expectancy at birthb (years),Healthy life expectancy at birthb (years),Maternal mortality ratioc (per 100 000 live births),Proportion of births attended by skilled health personneld (%),Under-five mortality ratee (per 1000 live births),Neonatal mortality ratee (per 1000 live births),New HIV infectionsf (per 1000 uninfected population),Tuberculosis incidenceg (per 100 000 population),Malaria incidenceh (per 1000 population at risk),Hepatitis B surface antigen (HBsAg) prevalence among children under 5 yearsi (%),Reported number of people requiring interventions against NTDsj
Afghanistan,38 928,63.2,53.9,638,62,58,35,0.04,193,8.4,0.39,14 367 281
Albania,2 878,78,69.1,15,100,10,8,0.03,15,-,0.29,6
Algeria,43 851,77.1,66.4,112,99,23,16,0.04,59,-,0.08, 11 599
Angola,32 866,63.1,54.8,241,50,71,27,0.69,350,251.6,4.57,7 698 802
Antigua and Barbuda,98,76.5,67,42,99,6,3,-,2,-,0.19, 1 207
Argentina,45 196,76.6,67.1,39,99,9,5,0.13,31,-,0.01, 161 306
Armenia,2 963,76,67.1,26,100,11,6,0.11,23,-,0.06,70
Australia,25 500,83,70.9,6,99,4,2,0.03,7,-,0.13, 20 401
Austria,9 006,81.6,70.9,5,98,4,2,-,5,-,0.16,22
Azerbaijan,10 139,71.4,63.6,26,100,19,10,0.04,58,-,0.06, 686 000
Bahamas,393,73.2,64.4,70,99,12,7,0.28,9,-,0.16,3
Bahrain,1 702,75.8,65.9,14,100,7,3,-,13,-,0.03,2
Bangladesh,164 689,74.3,64.3,173,59,29,17,-,218,0.4,0.51,56 339 394
Barbados,287,76,67,27,98,12,8,-,2,-,0.18,301
Belarus,9 449,74.8,66,2,100,3,1,0.13,26,-,0.29,7
Belgium,11 590,81.4,70.6,5,-,4,2,-,8,-,0.09,18
Belize,398,74.4,65.3,36,95,12,8,0.53,23,0,0.6, 2 785
Benin,12 123,63.4,55.5,397,78,86,30,0.19,55,388.3,2.87,5 599 018
Bhutan,772,73.1,63.4,183,96,28,15,0.09,165,<0.1,0.14, 229 837
Bolivia (Plurinational State of),11 673,72.1,63.3,155,81,25,13,0.08,105,3.1,0.14, 189 597
Bosnia and Herzegovina,3 281,76.8,67.2,10,100,6,4,-,26,-,0.63,0
Botswana,2 352,62.2,53.9,144,100,45,22,4.39,236,1.1,0.18,1 461 240
Brazil,212 559,75.9,65.4,60,99,15,9,0.23,45,3.9,0.03,9 629 923
Brunei Darussalam,437,74.3,65.6,31,100,12,6,-,83,-,0.1,1
Bulgaria,6 948,75.1,66.3,10,100,6,3,-,19,-,0.09,96
Burkina Faso,20 903,62.7,54.9,320,80,85,26,0.1,46,389.9,1.66,5 815 599
Burundi,11 891,63.8,55.6,548,85,54,21,0.15,103,294.9,1.35,3 575 616
Cabo Verde,556,74,64.8,58,97,14,9,-,39,0,0.26, 150 015
Cambodia,16 719,70.1,61.5,160,89,26,13,0.07,274,5.8,0.19,5 194 507
Cameroon,26 546,62.4,54.5,529,69,72,26,0.6,174,260,1.75,11 348 320
Canada,37 742,82.2,71.3,10,98,5,3,-,6,-,0.34,0
Central African Republic,4 830,53.1,46.4,829,40,103,39,-,540,336,3.75,4 442 825
Chad,16 426,59.6,52,1140,39,110,33,0.22,144,206.3,10.79,6 562 501
Chile,19 116,80.7,70,13,100,7,4,0.26,15,-,0.03,16
China,1447 470,77.4,68.5,29,100,7,3,-,59,-,0.22,621
Colombia,50 883,79.3,69,83,99,13,7,0.18,37,9.4,0.15,3 237 824
Comoros,870,67.4,58.9,273,82,61,29,0.01,35,5.2,1.16, 503 090
Congo,5 518,64.7,56.2,378,91,45,19,1.94,379,213.2,2.56,1 438 750
Costa Rica,5 094,80.8,70,27,99,8,6,0.34,10,<0.1,0.02, 10 590
Côte d'Ivoire,26 378,62.9,54.8,617,74,78,33,0.24,135,287,3.44,21 966 154
Croatia,4 105,78.6,68.6,8,100,5,3,0.02,7,-,0.12,0
Cuba,11 327,77.8,67.8,36,100,5,2,0.18,6,-,0.03, 48 144
